,0
1913,19399
1914,19405
1915,19416
1916,19420
1917,19434
1918,19436
1919,19448
1920,19486
1921,19493
1922,19494
1923,19503
1924,19505
1925,19515
1926,19517
1927,19531
1928,19533
1929,19534
1930,19547
1931,19557
1932,19565
1933,19590
1934,19600
1935,19605
1936,19614
1937,19616
1938,19629
1939,19650
1940,19655
1941,19657
1942,19659
1943,19680
1944,19689
1945,19698
1946,19734
1947,19742
1948,19748
1949,19765
1950,19769
1951,19776
1952,19780
1953,19784
1954,19803
1955,19820
1956,19821
1957,19839
1958,19842
1959,19845
1960,19854
1961,19870
1962,19881
1963,19885
1964,19889
1965,19891
1966,19901
1967,19905
1968,19915
1969,19923
1970,19928
1971,19932
1972,19937
1973,19947
1974,19951
1975,19957
1976,19982
1977,19985
1978,19987
1979,19992
1980,20016
1981,20020
1982,20024
1983,20031
1984,20034
1985,20044
1986,20046
1987,20074
1988,20080
1989,20084
1990,20089
1991,20125
1992,20132
1993,20137
1994,20146
1995,20157
1996,20165
1997,20175
1998,20181
1999,20183
2000,20197
2001,20212
2002,20241
2003,20272
2004,20274
2005,20285
2006,20286
2007,20291
2008,20297
2009,20326
2010,20332
2011,20333
2012,20347
2013,20356
2014,20360
2015,20372
2016,20379
2017,20380
2018,20382
2019,20398
2020,20406
2021,20424
2022,20436
2023,20479
2024,20488
2025,20495
2026,20519
2027,20530
2028,20535
2029,20536
2030,20544
2031,20545
2032,20546
2033,20554
2034,20559
2035,20573
2036,20584
2037,20585
2038,20594
2039,20609
2040,20620
2041,20633
2042,20666
2043,20675
2044,20680
2045,20681
2046,20685
2047,20687
2048,20710
2049,20713
2050,20730
2051,20742
2052,20745
2053,20753
2054,20754
2055,20757
2056,20761
2057,20772
2058,20784
2059,20788
2060,20791
2061,20800
2062,20801
2063,20802
2064,20810
2065,20826
2066,20829
2067,20836
2068,20838
2069,20843
2070,20846
2071,20859
2072,20867
2073,20869
2074,20884
2075,20893
2076,20895
2077,20901
2078,20908
2079,20912
2080,20935
2081,20957
2082,20960
2083,20964
2084,20966
2085,20968
2086,20974
2087,20989
2088,20992
2089,20995
2090,21010
2091,21024
2092,21037
2093,21038
2094,21048
2095,21056
